company_name,year_month,length,first_senti_avg,last_senti_avg,senti_improve,verify_thread
ATT,2017-09,3.6,2.0,2.1,0.1,5
ATT,2017-10,3.5851528384279474,1.7670305676855895,1.7984716157205247,0.03144104803493449,229
ATT,2017-11,4.105263157894737,1.7192982456140353,1.700877192982456,-0.018421052631578953,19
ATT,2017-12,4.25,2.0166666666666666,2.0,-0.016666666666666663,4
ATVIAssist,2015-09,5.0,2.0,2.0,0.0,1
ATVIAssist,2015-10,3.0,2.0,2.0,0.0,1
ATVIAssist,2016-02,7.5,2.0,2.0,0.0,2
ATVIAssist,2017-02,3.5,4.0,1.5,-2.5,2
ATVIAssist,2017-04,3.0,3.0,3.0,0.0,1
ATVIAssist,2017-05,3.0,1.0,2.0,1.0,1
ATVIAssist,2017-07,7.0,1.5,2.0,0.5,2
ATVIAssist,2017-08,4.571428571428571,1.5714285714285714,1.7857142857142858,0.21428571428571427,7
ATVIAssist,2017-09,4.6,1.6333333333333333,1.8694444444444445,0.23611111111111113,15
ATVIAssist,2017-10,5.0987341772151895,1.7002531645569632,1.81374321880651,0.11349005424954792,790
ATVIAssist,2017-11,3.9629990262901655,1.7076463269501252,1.8058144387258304,0.09816811177570663,1027
ATVIAssist,2017-12,4.088888888888889,1.8171296296296295,1.8525462962962964,0.03541666666666666,180
AWSSupport,2017-07,7.0,1.5,2.0,0.5,1
AWSSupport,2017-08,4.25,1.5833333333333333,1.75,0.16666666666666669,4
AWSSupport,2017-09,4.0,1.601851851851852,1.7805555555555554,0.17870370370370367,18
AWSSupport,2017-10,3.25,1.7569444444444446,2.097916666666667,0.3409722222222222,72
AWSSupport,2017-11,3.0588235294117645,1.7843137254901962,2.113725490196078,0.32941176470588235,17
AWSSupport,2017-12,3.0,1.6428571428571428,2.119047619047619,0.4761904761904762,7
AdobeCare,2017-07,14.75,1.9166666666666665,2.125,0.20833333333333337,4
AdobeCare,2017-09,9.0,1.818840579710145,1.7934782608695652,-0.02536231884057971,23
AdobeCare,2017-10,5.7585692995529065,1.7594883258817697,1.9162692498758067,0.15678092399403862,671
AdobeCare,2017-11,5.155234657039712,1.684396309667068,1.880625752105896,0.19622944243882873,277
AdobeCare,2017-12,4.09433962264151,1.6678796046720576,1.930817610062893,0.2629380053908356,53
AirAsiaSupport,2015-03,4.0,2.0,2.4,0.3999999999999999,1
AirAsiaSupport,2015-10,6.0,1.5,2.0,0.5,3
AirAsiaSupport,2016-08,7.0,2.0,2.0,0.0,1
AirAsiaSupport,2017-03,4.0,2.0,2.0,0.0,1
AirAsiaSupport,2017-05,3.0,2.0,1.5,-0.5,2
AirAsiaSupport,2017-06,3.0,2.0,1.875,-0.125,2
AirAsiaSupport,2017-07,12.0,1.5,2.0,0.5,1
AirAsiaSupport,2017-08,4.0,2.0,1.0,-1.0,1
AirAsiaSupport,2017-09,9.894736842105264,1.8421052631578947,2.1973684210526314,0.35526315789473684,19
AirAsiaSupport,2017-10,5.719723183391004,1.8924699291481302,1.907563025210084,0.0150930960619542,289
